0,2022-11-28T10:20:55.1739648+00:00
0.5,2022-11-28T10:21:14.1715584+00:00
-35,2022-11-28T10:21:14.3139712+00:00
-35,2022-11-28T10:21:14.3148288+00:00
-34.23915,2022-11-28T10:21:14.4323968+00:00
-35,2022-11-28T10:21:14.4990720+00:00
-35.76085,2022-11-28T10:21:14.5157120+00:00
-36.52171,2022-11-28T10:21:14.5323776+00:00
-35.76085,2022-11-28T10:21:14.5658112+00:00
-35,2022-11-28T10:21:14.5824768+00:00
-34.23915,2022-11-28T10:21:14.5991424+00:00
-33.47829,2022-11-28T10:21:14.6158080+00:00
-32.71744,2022-11-28T10:21:14.6491520+00:00
-31.95658,2022-11-28T10:21:14.9825408+00:00
-32.71744,2022-11-28T10:21:15.1158912+00:00
-33.47829,2022-11-28T10:21:16.7161984+00:00
-32.71744,2022-11-28T10:21:16.7995392+00:00
-31.95658,2022-11-28T10:21:18.7832064+00:00
-30.43487,2022-11-28T10:21:18.8832128+00:00
-28.15231,2022-11-28T10:21:18.8998912+00:00
-25.10889,2022-11-28T10:21:18.9165568+00:00
-21.30462,2022-11-28T10:21:18.9332224+00:00
-16.73949,2022-11-28T10:21:18.9499008+00:00
-11.41351,2022-11-28T10:21:18.9665664+00:00
-5.326674,2022-11-28T10:21:18.9832448+00:00
0,2022-11-28T10:21:20.0177792+00:00
1,2022-11-28T10:21:21.8172032+00:00
35,2022-11-28T10:21:21.9175424+00:00
35,2022-11-28T10:21:21.9175808+00:00
35.76085,2022-11-28T10:21:22.1837824+00:00
38.04342,2022-11-28T10:21:22.2004608+00:00
41.08684,2022-11-28T10:21:22.2171264+00:00
44.89111,2022-11-28T10:21:22.2338176+00:00
50.21709,2022-11-28T10:21:22.2504704+00:00
54.78222,2022-11-28T10:21:22.2671360+00:00
60.1082,2022-11-28T10:21:22.2837888+00:00
66.19504,2022-11-28T10:21:22.3004800+00:00
0,2022-11-28T10:21:24.3175680+00:00
1,2022-11-28T10:21:28.5516288+00:00
-34.23915,2022-11-28T10:21:28.6352640+00:00
-35,2022-11-28T10:21:28.6352896+00:00
-34.23915,2022-11-28T10:21:31.3686400+00:00
-32.71744,2022-11-28T10:21:31.4686464+00:00
-30.43487,2022-11-28T10:21:31.4853120+00:00
-25.86975,2022-11-28T10:21:31.5019904+00:00
-19.78291,2022-11-28T10:21:31.5186816+00:00
-12.93522,2022-11-28T10:21:31.5353344+00:00
-4.56582,2022-11-28T10:21:31.5520128+00:00
0,2022-11-28T10:21:32.5689344+00:00
0.5,2022-11-28T10:21:34.2525952+00:00
-35,2022-11-28T10:21:34.3362176+00:00
-35,2022-11-28T10:21:34.3362432+00:00
-33.47829,2022-11-28T10:21:38.6031744+00:00
-31.19573,2022-11-28T10:21:38.6198528+00:00
-26.6306,2022-11-28T10:21:38.6365184+00:00
-22.06547,2022-11-28T10:21:38.6531840+00:00
-18.2612,2022-11-28T10:21:38.6698496+00:00
-15.21778,2022-11-28T10:21:38.6865280+00:00
-13.69607,2022-11-28T10:21:38.7031936+00:00
-12.93522,2022-11-28T10:21:38.9365632+00:00
-12.17437,2022-11-28T10:21:40.0867840+00:00
-11.41351,2022-11-28T10:21:40.1034624+00:00
-8.370092,2022-11-28T10:21:40.1201152+00:00
-6.087529,2022-11-28T10:21:40.1367936+00:00
-3.804965,2022-11-28T10:21:40.1534592+00:00
-3.044111,2022-11-28T10:21:40.1868032+00:00
-1.522402,2022-11-28T10:21:40.2868224+00:00
0,2022-11-28T10:21:41.3037568+00:00
0.5,2022-11-28T10:21:42.9040640+00:00
-35,2022-11-28T10:21:42.9876480+00:00
-35,2022-11-28T10:21:42.9876736+00:00
-34.23915,2022-11-28T10:21:45.4710016+00:00
-32.71744,2022-11-28T10:21:45.5043456+00:00
-30.43487,2022-11-28T10:21:45.5210240+00:00
-27.39145,2022-11-28T10:21:45.5376896+00:00
-23.58718,2022-11-28T10:21:45.5543552+00:00
-21.30462,2022-11-28T10:21:45.5710208+00:00
-20.54376,2022-11-28T10:21:45.5876992+00:00
-19.78291,2022-11-28T10:21:46.7545600+00:00
-19.02205,2022-11-28T10:21:46.7879040+00:00
-18.2612,2022-11-28T10:21:46.8045696+00:00
-17.50035,2022-11-28T10:21:46.8212352+00:00
-16.73949,2022-11-28T10:21:46.8379008+00:00
-14.45693,2022-11-28T10:21:46.8545792+00:00
-10.65266,2022-11-28T10:21:46.8712448+00:00
-6.087529,2022-11-28T10:21:46.8879104+00:00
0,2022-11-28T10:21:47.9215360+00:00
1,2022-11-28T10:21:49.5384960+00:00
-34.23915,2022-11-28T10:21:49.6221312+00:00
-35,2022-11-28T10:21:49.6221568+00:00
-34.23915,2022-11-28T10:21:49.6383744+00:00
-33.47829,2022-11-28T10:21:49.6883968+00:00
-32.71744,2022-11-28T10:21:50.2551680+00:00
