0,0,2022-11-28T10:20:55.1675392+00:00
0,-35,2022-11-28T10:21:14.1664256+00:00
0.5,-35,2022-11-28T10:21:14.1719168+00:00
0.5,-35,2022-11-28T10:21:14.3139840+00:00
0.5,-35,2022-11-28T10:21:14.3148416+00:00
0.5,-34.23915,2022-11-28T10:21:14.4324224+00:00
0.5,-35,2022-11-28T10:21:14.4990848+00:00
0.5,-35.76085,2022-11-28T10:21:14.5157248+00:00
0.5,-36.52171,2022-11-28T10:21:14.5323776+00:00
0.5,-35.76085,2022-11-28T10:21:14.5658240+00:00
0.5,-35,2022-11-28T10:21:14.5824896+00:00
0.5,-34.23915,2022-11-28T10:21:14.5991552+00:00
0.5,-33.47829,2022-11-28T10:21:14.6158208+00:00
0.5,-32.71744,2022-11-28T10:21:14.6491648+00:00
0.5,-31.95658,2022-11-28T10:21:14.9825536+00:00
0.5,-32.71744,2022-11-28T10:21:15.1159040+00:00
0.5,-33.47829,2022-11-28T10:21:16.7162112+00:00
0.5,-32.71744,2022-11-28T10:21:16.7995520+00:00
0.5,-31.95658,2022-11-28T10:21:18.7832192+00:00
0.5,-30.43487,2022-11-28T10:21:18.8832256+00:00
0.5,-28.15231,2022-11-28T10:21:18.8998912+00:00
0.5,-25.10889,2022-11-28T10:21:18.9165696+00:00
0.5,-21.30462,2022-11-28T10:21:18.9332352+00:00
0.5,-16.73949,2022-11-28T10:21:18.9499008+00:00
0.5,-11.41351,2022-11-28T10:21:18.9665792+00:00
0.5,-5.326674,2022-11-28T10:21:18.9832448+00:00
0,-5.326674,2022-11-28T10:21:20.0177920+00:00
0,35,2022-11-28T10:21:21.8171136+00:00
1,35,2022-11-28T10:21:21.8172032+00:00
1,35,2022-11-28T10:21:21.9175552+00:00
1,35,2022-11-28T10:21:21.9175808+00:00
1,35.76085,2022-11-28T10:21:22.1837824+00:00
1,38.04342,2022-11-28T10:21:22.2004736+00:00
1,41.08684,2022-11-28T10:21:22.2171264+00:00
1,44.89111,2022-11-28T10:21:22.2338304+00:00
1,50.21709,2022-11-28T10:21:22.2504704+00:00
1,54.78222,2022-11-28T10:21:22.2671488+00:00
1,60.1082,2022-11-28T10:21:22.2838016+00:00
1,66.19504,2022-11-28T10:21:22.3004800+00:00
0,66.19504,2022-11-28T10:21:24.3175808+00:00
0,-35,2022-11-28T10:21:28.5515392+00:00
1,-35,2022-11-28T10:21:28.5516416+00:00
1,-34.23915,2022-11-28T10:21:28.6352640+00:00
1,-35,2022-11-28T10:21:28.6352896+00:00
1,-34.23915,2022-11-28T10:21:31.3686528+00:00
1,-32.71744,2022-11-28T10:21:31.4686592+00:00
1,-30.43487,2022-11-28T10:21:31.4853248+00:00
1,-25.86975,2022-11-28T10:21:31.5020032+00:00
1,-19.78291,2022-11-28T10:21:31.5186944+00:00
1,-12.93522,2022-11-28T10:21:31.5353344+00:00
1,-4.56582,2022-11-28T10:21:31.5520256+00:00
0,-4.56582,2022-11-28T10:21:32.5689600+00:00
0,-35,2022-11-28T10:21:34.2525056+00:00
0.5,-35,2022-11-28T10:21:34.2525952+00:00
0.5,-35,2022-11-28T10:21:34.3362304+00:00
0.5,-35,2022-11-28T10:21:34.3362432+00:00
0.5,-33.47829,2022-11-28T10:21:38.6031872+00:00
0.5,-31.19573,2022-11-28T10:21:38.6198656+00:00
0.5,-26.6306,2022-11-28T10:21:38.6365184+00:00
0.5,-22.06547,2022-11-28T10:21:38.6531968+00:00
0.5,-18.2612,2022-11-28T10:21:38.6698624+00:00
0.5,-15.21778,2022-11-28T10:21:38.6865408+00:00
0.5,-13.69607,2022-11-28T10:21:38.7032064+00:00
