Timestamp,Value.Seconds,Value.Value
5057.896256,5057.924704,True
5057.94624,5057.977344,False
5071.362528,5071.396512,True
5071.412544,5071.443904,False
5075.645728,5075.677888,True
5075.695744,5075.729984,False
5089.861952,5089.896064,True
5089.911968,5089.94656,False
5095.828448,5095.862592,True
5095.878464,5095.910592,False
5102.144928,5102.178944,True
5102.194912,5102.227328,False
5107.694752,5107.718432,True
5107.728064,5107.763008,False
5120.52768,5120.56,True
5120.577696,5120.610496,False
5129.727424,5129.757568,True
5129.777408,5129.813088,False
5136.577216,5136.610912,True
5136.6272,5136.663328,False
5141.393696,5141.423104,True
5141.443712,5141.477216,False
5147.876864,5147.90672,True
5147.926848,5147.963232,False
5155.976576,5156.001408,True
5156.009952,5156.043712,False
5159.85984,5159.882176,True
5159.893152,5159.927264,False
5165.659616,5165.686464,True
5165.69296,5165.727072,False
5174.259392,5174.290464,True
5174.309376,5174.34656,False
5181.875808,5181.9064,True
5181.925792,5181.963296,False
5186.99232,5187.030304,True
5187.042336,5187.079904,False
5196.558688,5196.589472,True
5196.608704,5196.646656,False
5202.875168,5202.897504,True
5202.90848,5202.9464,False
5209.858272,5209.884032,True
5209.891616,5209.927136,False
5215.508128,5215.53216,True
5215.54144,5215.579552,False
5219.457984,5219.493824,True
5219.508,5219.543808,False
5228.2744,5228.301504,True
5228.307744,5228.346304,False
5242.773952,5242.7992,True
5242.807264,5242.843776,False
5257.990144,5258.012704,True
5258.023488,5258.060288,False
5267.539872,5267.572896,True
5267.589888,5267.627104,False
5276.7896,5276.824384,True
5276.839616,5276.876896,False
5285.606016,5285.639968,True
5285.656,5285.693472,False
5296.672352,5296.702784,True
5296.705696,5296.743776,False
5302.688832,5302.710912,True
5302.738816,5302.7632,False
5310.371936,5310.402464,True
5310.421952,5310.446464,False
5315.988448,5316.018304,True
5316.021792,5316.060384,False
5327.554752,5327.591968,True
5327.621408,5327.643808,False
5333.03792,5333.065536,True
5333.087936,5333.113024,False
5339.087744,5339.122464,True
5339.154432,5339.176864,False
5343.037664,5343.070368,True
5343.10432,5343.127264,False
5352.354016,5352.388128,True
5352.420672,5352.446016,False
5358.787168,5358.810272,True
5358.837152,5358.862752,False
5364.736992,5364.771776,True
5364.803648,5364.82976,False
5380.81984,5380.842624,True
5380.869824,5380.893728,False
5387.519648,5387.547264,True
5387.569632,5387.593568,False
5393.852768,5393.89072,True
5393.919424,5393.943808,False
5400.769216,5400.792864,True
5400.819232,5400.84624,False
5411.60224,5411.627296,True
5411.652256,5411.679808,False
5427.585088,5427.610144,True
5427.635104,5427.66304,False
5431.88496,5431.917024,True
5431.934976,5431.962816,False
5449.067776,5449.101312,True
5449.11776,5449.146176,False
5459.7008,5459.735904,True
5459.750816,5459.777088,False
5469.083872,5469.1152,True
5469.133856,5469.160512,False
5485.283392,5485.309824,True
5485.333376,5485.362944,False
5494.44976,5494.486944,True
5494.499776,5494.529728,False
5506.76608,5506.800704,True
5506.816064,5506.843904,False
5515.499168,5515.531968,True
5515.549152,5515.579776,False
5520.682336,5520.711712,True
5520.732352,5520.760288,False
5528.398784,5528.426944,True
5528.448768,5528.47696,False
5537.665152,5537.695552,True
5537.715168,5537.743552,False
5547.614848,5547.651552,True
5547.664864,5547.696352,False
5556.964576,5556.994848,True
5557.014592,5557.043744,False
5563.997696,5564.03232,True
5564.047744,5564.07712,False
5574.847392,5574.870496,True
5574.880736,5574.913152,False
5585.213728,5585.247648,True
5585.263744,5585.293856,False
5592.996832,5593.027296,True
5593.046816,5593.079616,False
5597.66336,5597.699008,True
5597.713376,5597.743808,False
5604.27984,5604.307456,True
5604.329824,5604.362848,False
5613.04624,5613.071328,True
5613.096256,5613.12704,False
5617.146112,5617.179904,True
5617.212768,5617.246304,False
5621.92928,5621.962656,True
5621.995936,5622.027104,False
5627.229152,5627.264128,True
5627.279136,5627.313024,False
5635.945536,5635.98128,True
5635.99552,5636.026912,False
5643.82864,5643.865536,True
5643.878656,5643.91296,False
5650.478432,5650.507968,True
5650.528448,5650.563072,False
5667.311264,5667.343104,True
5667.37792,5667.413024,False
5683.360768,5683.397664,True
5683.410784,5683.443584,False
5691.343872,5691.381632,True
5691.393888,5691.427264,False
5703.276864,5703.310496,True
5703.32688,5703.360384,False
5716.209792,5716.245344,True
5716.276448,5716.31312,False
5725.126176,5725.161248,True
5725.176192,5725.210432,False
5730.876032,5730.900256,True
5730.909312,5730.946336,False
5740.409024,5740.435328,True
5740.442368,5740.47984,False
5752.042048,5752.079008,True
5752.092032,5752.127104,False
5764.274976,5764.302432,True
5764.308352,5764.34384,False
5772.874688,5772.896704,True
5772.908032,5772.9464,False
5781.507776,5781.530496,True
5781.54112,5781.576992,False
5793.707424,5793.73216,True
5793.757408,5793.779552,False
5803.85712,5803.88816,True
5803.907104,5803.946272,False
5813.473472,5813.509472,True
5813.54016,5813.562976,False
5823.889856,5823.920608,True
5823.9232,5823.96032,False
5837.939424,5837.971296,True
5837.98944,5838.027072,False
5844.055936,5844.090464,True
5844.105952,5844.143744,False
5863.822016,5863.845856,True
5863.85536,5863.89376,False
5881.938112,5881.97312,True
5882.0048,5882.026944,False
5898.537632,5898.567104,True
5898.587648,5898.613088,False
5910.270624,5910.307968,True
5910.337312,5910.362752,False
5942.769632,5942.794816,True
5942.819616,5942.843616,False
5958.785824,5958.818944,True
5958.85248,5958.879744,False
5971.185472,5971.220416,True
5971.235456,5971.260416,False
5978.00192,5978.03776,True
5978.068608,5978.09616,False
5983.885056,5983.911168,True
5983.93504,5983.963168,False
5987.78496,5987.817376,True
5987.834976,5987.863072,False
5992.018176,5992.056544,True
